S.No.175,Name of the customer,Place,Inv. No.,Inv. Date,DAYS OF INVOICE,Invoice Value,Amount Pending,PAYMENT RECIEVED DATE,Remarks,STATUS,,
115,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0115,6/2/2022,1133,103905.00,103905.00,,,N,,
116,Ramreddy Poultry Farms,SHADNAGAR,OE/22-23/0116,6/3/2022,1132,55000.00,55000.00,,,N,,
118,KOHINOOR HATCHERIES PVT LTD,RM-HYDERABAD,OE/22-23/0118,6/4/2022,1131,20832.00,20832.00,,,N,,
120,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0120,6/7/2022,1128,196264.00,196264.00,,,N,,
123,SRI LAKSHMI HATCHERIES,RM-HYDERABAD,OE/22-23/0123,6/8/2022,1127,90000.00,90000.00,,,N,,
124,ANDHRA POULTRY NEEDS,VIJAYAWADA,OE/22-23/0124,6/8/2022,1127,44957.00,44957.00,,,N,,
130,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0130,6/9/2022,1126,27600.00,27600.00,,,N,,
132,SRI LAKSHMI HATCHERIES,RM-HYDERABAD,OE/22-23/0132,6/11/2022,1124,16500.00,16500.00,,,N,,
133,HYPRO POULTRY FARMS PVT LTD,SHADNAGAR,OE/22-23/0133,6/13/2022,1122,62500.00,62500.00,,,N,,
134,Niha Enterprises,SHADNAGAR,OE/22-23/0134,6/14/2022,1121,15750.00,15750.00,,,N,,
135,B SRIRAMULU POULTRIES,TANUKU,OE/22-23/0135,6/14/2022,1121,39200.00,39200.00,,,N,,
136,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0136,6/14/2022,1121,124186.00,124186.00,,,N,,
138,GRACE LAYER POULTRY FARM,SHADNAGAR,OE/22-23/0138,6/16/2022,1119,242500.00,242500.00,,,N,,
139,SRI KRISHNAVENI POULTRY NEEDS,VIJAYAWADA,OE/22-23/0139,6/16/2022,1119,135800.00,135800.00,,,N,,
140,SRI KRISHNAVENI POULTRY NEEDS,VIJAYAWADA,OE/22-23/0140,6/16/2022,1119,29971.20,29971.20,,,N,,
143,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0143,6/16/2022,1119,184000.00,184000.00,,,N,,
145,VARALAXMI POULTRY FARM,SHADNAGAR,OE/22-23/0145,6/17/2022,1118,26300.00,26300.00,,,N,,
146,BN REDDY POULTRY FARM,SHADNAGAR,OE/22-23/0146,6/20/2022,1115,132000.00,132000.00,,,N,,
147,VARALAXMI POULTRY FARM,SHADNAGAR,OE/22-23/0147,6/22/2022,1113,23038.00,23038.00,,,N,,
148,ROHINI TRADERS,AP-TS INSTITUTIONAL,OE/22-23/0148,6/22/2022,1113,46771.00,37066.00,,,N,,
149,VINKEM,VIJAYAWADA,OE/22-23/0149,6/22/2022,1113,15000.00,15000.00,,,N,,
150,SRI VENKATESHWARA POULTRY FARM & FEEDS,SHADNAGAR,OE/22-23/0150,6/22/2022,1113,45000.00,45000.00,,,N,,
151,M HANUMANTH RAO POULTRY FARM,SHADNAGAR,OE/22-23/0151,6/22/2022,1113,20000.00,20000.00,,,N,,
153,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0153,6/23/2022,1112,33000.00,33000.00,,,N,,
154,BALAJI POULTRY FARM NGKL,SHADNAGAR,OE/22-23/0154,6/23/2022,1112,25850.00,25850.00,,,N,,
155,SRI VENKATESWARA POULTRY FARM,AP-TS INSTITUTIONAL,OE/22-23/0155,6/24/2022,1111,400000.00,250000.00,150000/-06/07/22::250000/-pending,150000/-06/07/22::250000/-pending,PN,,
156,BN REDDY POULTRY FARM,SHADNAGAR,OE/22-23/0156,6/24/2022,1111,143000.00,143000.00,,,N,,
158,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/22-23/0158,6/25/2022,1110,62740.00,62740.00,,,N,,
160,SATYA LAKSHMI POULTRIES,TANUKU,OE/22-23/0160,6/25/2022,1110,104050.00,104050.00,,,N,,
161,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0161,6/27/2022,1108,34000.00,34000.00,,,N,,
164,N Srinivas Rao Poultry Farm,SHADNAGAR,OE/22-23/0164,6/29/2022,1106,70000.00,70000.00,,,N,,
165,NEW FATHIMA POULTRY FARM,SHADNAGAR,OE/22-23/0165,6/30/2022,1105,32500.00,32500.00,,,N,,
166,ANDHRA POULTRY NEEDS,VIJAYAWADA,OE/22-23/0166,6/30/2022,1105,44957.00,44957.00,,,N,,
167,FARMERS ENTERPRISES,TANUKU,OE/22-23/0167,6/30/2022,1105,44352.00,44352.00,,PDC-30/09/22,N,,
168,GBR HATCHERIES PVT LTD,AP-TS INSTITUTIONAL,OE/22-23/0168,6/30/2022,1105,10000.00,10000.00,,,N,,
169,GBR HATCHERIES PVT LTD,AP-TS INSTITUTIONAL,OE/22-23/0169,6/30/2022,1105,320000.00,320000.00,,,N,,
170,RADHA MADHAV AGENCIES,ANAPARTHY,OE/22-23/0170,6/30/2022,1105,557000.00,557000.00,,,N,,
171,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0171,6/30/2022,1105,287707.00,287707.00,,,N,,
172,LAKSHMI POULTRY FARMS,TANUKU,OE/22-23/0172,6/30/2022,1105,192295.00,192295.00,,,N,,
174,Niha Enterprises,SHADNAGAR,OE/22-23/0174,7/4/2022,1101,37800.00,37800.00,,,N,,
175,"B Leela Krishna Poultry Farm
",SHADNAGAR,OE/22-23/0175,7/4/2022,1101,19250.00,19250.00,,,N,,
177,B SATEESH POULTRY FARM,SHADNAGAR,OE/22-23/0177,7/4/2022,1101,70000.00,70000.00,,,N,,
178,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0178,7/4/2022,1101,170000.00,170000.00,,,N,,
179,SAI RAM POULTRY FARM,SHADNAGAR,OE/22-23/0179,7/4/2022,1101,38500.00,38500.00,,,N,,
180,"G Sambashiva Rao Poultry Farm
",SHADNAGAR,OE/22-23/0180,7/5/2022,1100,32600.00,32600.00,,,N,,
181,Ramreddy Poultry Farms,RM-HYDERABAD,OE/22-23/0181,7/6/2022,1099,55000.00,55000.00,,,N,,
182,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0182,7/7/2022,1098,217334.00,217334.00,,,N,,
183,KOHINOOR HATCHERIES PVT LTD,RM-HYDERABAD,OE/22-23/0183,7/7/2022,1098,41664.00,41664.00,,,N,,
184,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0184,7/7/2022,1098,100000.00,100000.00,,,N,,
